Country,YearsCodePro,DevType,EdLevel,RemoteWork,OrgSize,Employment,ConvertedCompYearly
Austria,6.0,Academic researcher,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Hybrid (some remote, some in-person)",100 to 499 employees,"Employed, full-time",30074.0
Turkey,6.0,Data scientist or machine learning specialist,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Remote,20 to 99 employees,"Employed, full-time",91295.0
United Kingdom of Great Britain and Northern Ireland,18.0,Engineering manager,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Hybrid (some remote, some in-person)","1,000 to 4,999 employees","Employed, full-time",161044.0
United Kingdom of Great Britain and Northern Ireland,25.0,Other (please specify):,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Remote,20 to 99 employees,"Employed, full-time",121018.0
United States of America,30.0,"Developer, full-stack",Some college/university study without earning a degree,Remote,"1,000 to 4,999 employees","Employed, full-time",195000.0
Bulgaria,20.0,"Developer, full-stack",Some college/university study without earning a degree,Remote,20 to 99 employees,"Employed, full-time",44586.0
France,50.0,Academic researcher,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",In-person,100 to 499 employees,"Employed, full-time",57999.0
United Kingdom of Great Britain and Northern Ireland,27.0,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Remote,"1,000 to 4,999 employees","Employed, full-time",184712.0
Germany,1.0,Academic researcher,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",In-person,10 to 19 employees,"Employed, full-time",29000.0
Germany,30.0,"Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Remote,20 to 99 employees,"Employed, full-time",85925.0
United Kingdom of Great Britain and Northern Ireland,15.0,"Developer, front-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Remote,100 to 499 employees,"Employed, full-time",124840.0
United States of America,11.0,"Engineer, site reliability","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Remote,100 to 499 employees,"Employed, full-time",230000.0
United States of America,23.0,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",In-person,20 to 99 employees,"Employed, full-time",85000.0
United States of America,18.0,"Developer, full-stack","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Remote,10 to 19 employees,"Employed, full-time",160000.0
United States of America,23.0,"Developer, front-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Remote,"1,000 to 4,999 employees","Employed, full-time",110000.0
United States of America,18.0,Engineering manager,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",In-person,"10,000 or more employees","Employed, full-time",190000.0
United Kingdom of Great Britain and Northern Ireland,17.0,Other (please specify):,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Remote,"10,000 or more employees","Employed, full-time",161783.0
Russian Federation,1.0,"Developer, full-stack","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",In-person,20 to 99 employees,"Employed, full-time",12773.0
Germany,10.0,"Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Hybrid (some remote, some in-person)",10 to 19 employees,"Employed, full-time",69814.0
United States of America,10.0,"Developer, full-stack","Associate degree (A.A., A.S., etc.)",In-person,100 to 499 employees,"Employed, full-time",115000.0
United States of America,18.0,"Developer, back-end","Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Hybrid (some remote, some in-person)","1,000 to 4,999 employees","Employed, full-time",300000.0
Czech Republic,11.0,"Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Hybrid (some remote, some in-person)","10,000 or more employees","Employed, full-time",52122.0
France,8.0,"Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",In-person,2 to 9 employees,"Employed, full-time",54777.0
Canada,24.0,"Developer, game or graphics","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Hybrid (some remote, some in-person)","10,000 or more employees","Employed, full-time",254425.0
Brazil,12.0,"Developer, front-end",Some college/university study without earning a degree,Remote,100 to 499 employees,"Employed, full-time",37297.0
United States of America,26.0,"Developer, QA or test","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Remote,"10,000 or more employees","Employed, full-time",140000.0
"Iran, Islamic Republic of...",9.0,"Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",In-person,10 to 19 employees,"Employed, full-time",213840.0
United States of America,40.0,"Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Remote,I don’t know,"Employed, full-time",200000.0
United States of America,4.0,"Developer, full-stack","Associate degree (A.A., A.S., etc.)",Remote,"10,000 or more employees","Employed, full-time",93000.0
Russian Federation,14.0,"Developer, front-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Remote,"1,000 to 4,999 employees","Employed, full-time",67227.0
Germany,10.0,"Developer, front-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Hybrid (some remote, some in-person)","10,000 or more employees","Employed, full-time",144998.0
Canada,17.0,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Hybrid (some remote, some in-person)","1,000 to 4,999 employees","Employed, full-time",119943.0
United States of America,9.0,Academic researcher,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Hybrid (some remote, some in-person)",10 to 19 employees,"Employed, full-time",100000.0
Dominican Republic,7.0,Data or business analyst,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Hybrid (some remote, some in-person)","5,000 to 9,999 employees","Employed, full-time",14142.0
United States of America,22.0,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Remote,"1,000 to 4,999 employees","Employed, full-time",102000.0
Turkey,15.0,Engineering manager,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Remote,"1,000 to 4,999 employees","Employed, full-time",123654.0
Ukraine,1.0,"Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Remote,10 to 19 employees,"Employed, full-time",650.0
United States of America,11.0,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Remote,100 to 499 employees,"Employed, full-time",170000.0
Italy,28.0,"Developer, embedded applications or devices","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Hybrid (some remote, some in-person)",500 to 999 employees,"Employed, full-time",48333.0
Switzerland,44.0,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Hybrid (some remote, some in-person)","Just me - I am a freelancer, sole proprietor, etc.","Employed, full-time",167125.0
Peru,13.0,"Developer, mobile","Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Hybrid (some remote, some in-person)","10,000 or more employees","Employed, full-time",79218.0
United States of America,20.0,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",In-person,20 to 99 employees,"Employed, full-time",175000.0
Germany,16.0,"Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Hybrid (some remote, some in-person)","10,000 or more employees","Employed, full-time",85925.0
Bolivia,10.0,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Remote,100 to 499 employees,"Employed, full-time",31200.0
United States of America,25.0,"Developer, desktop or enterprise applications","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Remote,20 to 99 employees,"Employed, full-time",130000.0
Morocco,0.0,"Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",In-person,20 to 99 employees,"Employed, full-time",3618.0
United States of America,13.0,Research & Development role,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",In-person,"5,000 to 9,999 employees","Employed, full-time",150000.0
United States of America,19.0,"Developer, back-end","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Remote,"10,000 or more employees","Employed, full-time",400000.0
India,4.0,"Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Remote,2 to 9 employees,"Employed, full-time",13160.0
United States of America,9.0,Other (please specify):,Some college/university study without earning a degree,Remote,"1,000 to 4,999 employees","Employed, full-time",160000.0
Turkey,13.0,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Remote,10 to 19 employees,"Employed, full-time",2411.0
Georgia,17.0,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Remote,"10,000 or more employees","Employed, full-time",50340.0
United Kingdom of Great Britain and Northern Ireland,3.0,Academic researcher,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Hybrid (some remote, some in-person)",2 to 9 employees,"Employed, full-time",49681.0
United States of America,9.0,"Developer, desktop or enterprise applications","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Hybrid (some remote, some in-person)",2 to 9 employees,"Employed, full-time",100000.0
United States of America,15.0,"Developer, full-stack","Associate degree (A.A., A.S., etc.)",Remote,500 to 999 employees,"Employed, full-time",100000.0
United States of America,22.0,"Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Remote,100 to 499 employees,"Employed, full-time",220000.0
Ukraine,2.0,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Remote,"1,000 to 4,999 employees","Employed, full-time",494.0
United States of America,13.0,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Remote,"10,000 or more employees","Employed, full-time",220000.0
United States of America,22.0,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Remote,"1,000 to 4,999 employees","Employed, full-time",250000.0
Canada,12.0,"Developer, full-stack",Some college/university study without earning a degree,Remote,"5,000 to 9,999 employees","Employed, full-time",218079.0
United States of America,35.0,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Remote,10 to 19 employees,"Employed, full-time",140000.0
United Kingdom of Great Britain and Northern Ireland,10.0,"Developer, desktop or enterprise applications","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Hybrid (some remote, some in-person)",20 to 99 employees,"Employed, full-time",75159.0
United States of America,25.0,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Hybrid (some remote, some in-person)",10 to 19 employees,"Employed, full-time",150000.0
United Kingdom of Great Britain and Northern Ireland,9.0,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Remote,20 to 99 employees,"Employed, full-time",104458.0
